geneid,entrezid,genesymbol,mouseortholog,genedescription,uniprotid,mitopathway,mitocartascore,targetpscore,hg19chr,inmitocarta,subcellularlocation,Loc
96257,1431,CS,12974.0,citrate synthase,O75390,Metabolism > Carbohydrate metabolism > TCA cycle,37.826,3.0,chr12,True,Mitochondrion matrix,NUC
96258,80273,GRPEL1,17713.0,"GrpE like 1, mitochondrial",Q9HAV7,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis",37.8199,1.0,chr4,True,Mitochondrion matrix,NUC
96259,1737,DLAT,235339.0,dihydrolipoamide S-acetyltransferase,P10515,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,37.7551,4.0,chr11,True,Mitochondrion matrix,NUC
96260,10128,LRPPRC,72416.0,leucine rich pentatricopeptide repeat containing,P42704,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation,37.7054,1.0,chr2,True,Mitochondrion,NUC
96261,1743,DLST,78920.0,dihydrolipoamide S-succinyltransferase,P36957,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism,37.6758,2.0,chr14,True,Mitochondrion matrix,NUC
96262,8050,PDHX,27402.0,pyruvate dehydrogenase complex component X,O00330,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,37.6758,2.0,chr11,True,Mitochondrion matrix,NUC
96263,85476,GFM1,28030.0,G elongation factor mitochondrial 1,Q96RP9,Mitochondrial central dogma > Translation > Translation factors,37.4426,2.0,chr3,True,Mitochondrion,NUC
96264,25874,MPC2,70456.0,mitochondrial pyruvate carrier 2,O95563,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport,37.3563,5.0,chr1,True,Mitochondrion inner membrane,MIM
96265,4719,NDUFS1,227197.0,NADH:ubiquinone oxidoreductase core subunit S1,P28331,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,36.8031,2.0,chr2,True,Mitochondrion inner membrane,MIM
96266,26589,MRPL46,67308.0,mitochondrial ribosomal protein L46,Q9H2W6,Mitochondrial central dogma > Translation > Mitochondrial ribosome,36.7746,1.0,chr15,True,Mitochondrion,NUC
96267,514,ATP5F1E,67126.0,ATP synthase F1 subunit epsilon,P56381,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,36.4978,4.0,chr20,True,Mitochondrion,NUC
96268,5250,SLC25A3,18674.0,solute carrier family 25 member 3,Q00325,Metabolism > Metals and cofactors > Copper metabolism | Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > SLC25A family,36.4978,4.0,chr12,True,Mitochondrion inner membrane,MIM
96269,51649,MRPS23,64656.0,mitochondrial ribosomal protein S23,Q9Y3D9,Mitochondrial central dogma > Translation > Mitochondrial ribosome,36.0922,5.0,chr17,True,Mitochondrion,NUC
96270,2271,FH,14194.0,fumarate hydratase,P07954,Metabolism > Carbohydrate metabolism > TCA cycle,35.7616,1.0,chr1,True,Mitochondrion,NUC
96271,23203,PMPCA,66865.0,"peptidase, mitochondrial processing subunit alpha",Q10713,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",35.653,1.0,chr9,True,Mitochondrion matrix,NUC
96272,506,ATP5F1B,11947.0,ATP synthase F1 subunit beta,P06576,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,35.6372,1.0,chr12,True,Mitochondrion inner membrane,MIM
96273,135154,SDHAF4,68002.0,succinate dehydrogenase complex assembly factor 4,Q5VUM1,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,35.5098,4.0,chr6,True,Mitochondrion matrix,NUC
96274,29796,UQCR10,66152.0,"ubiquinol-cytochrome c reductase, complex III subunit X",Q9UDW1,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,35.3274,,chr22,True,Mitochondrion inner membrane,MIM
96275,81689,ISCA1,69046.0,iron-sulfur cluster assembly 1,Q9BUE6,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,35.264,2.0,chr9,True,Mitochondrion,NUC
96276,8803,SUCLA2,20916.0,succinate-CoA ligase ADP-forming subunit beta,Q9P2R7,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,34.9705,1.0,chr13,True,Mitochondrion,NUC
96277,51805,COQ3,230027.0,"coenzyme Q3, methyltransferase",Q9NZJ6,Metabolism > Metals and cofactors > Coenzyme Q metabolism,34.8329,2.0,chr6,True,Mitochondrion inner membrane,MIM
96278,55699,IARS2,381314.0,"isoleucyl-tRNA synthetase 2, mitochondrial",Q9NSE4,Mitochondrial central dogma > Translation > mt-tRNA synthetases,34.7064,1.0,chr1,True,Mitochondrion matrix,NUC
96279,64960,MRPS15,66407.0,mitochondrial ribosomal protein S15,P82914,Mitochondrial central dogma > Translation > Mitochondrial ribosome,34.6309,2.0,chr1,True,Mitochondrion matrix,NUC
96280,3419,IDH3A,67834.0,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha,P50213,Metabolism > Carbohydrate metabolism > TCA cycle,34.6301,4.0,chr15,True,Mitochondrion,NUC
96281,1353,COX11,69802.0,cytochrome c oxidase copper chaperone COX11,Q9Y6N1,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,34.5801,2.0,chr17,True,Mitochondrion inner membrane,MIM
96282,2110,ETFDH,66841.0,electron transfer flavoprotein dehydrogenase,Q16134,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",34.3966,,chr4,True,Mitochondrion inner membrane,MIM
96283,26519,TIMM10,30059.0,translocase of inner mitochondrial membrane 10,P62072,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",34.3966,,chr11,True,Mitochondrion inner membrane,MIM
96284,64981,MRPL34,94065.0,mitochondrial ribosomal protein L34,Q9BQ48,Mitochondrial central dogma > Translation > Mitochondrial ribosome,34.3813,2.0,chr19,True,Mitochondrion,NUC
96285,51069,MRPL2,27398.0,mitochondrial ribosomal protein L2,Q5T653,Mitochondrial central dogma > Translation > Mitochondrial ribosome,34.3013,3.0,chr6,True,Mitochondrion,NUC
96286,593,BCKDHA,12039.0,branched chain keto acid dehydrogenase E1 subunit alpha,P12694,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,34.1724,1.0,chr19,True,Mitochondrion matrix,NUC
96287,7388,UQCRH,66576.0,ubiquinol-cytochrome c reductase hinge protein,P07919,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,34.0633,,chr1,True,Mitochondrion inner membrane,MIM
96288,192286,HIGD2A,67044.0,HIG1 hypoxia inducible domain family member 2A,Q9BW72,OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly,34.0633,,chr5,True,Mitochondrion membrane,NUC
96289,539,ATP5PO,28080.0,ATP synthase peripheral stalk subunit OSCP,P48047,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,34.0,2.0,chr21,True,Mitochondrion,NUC
96290,1892,ECHS1,93747.0,"enoyl-CoA hydratase, short chain 1",P30084,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism,33.7065,1.0,chr10,True,Mitochondrion matrix,NUC
96291,25875,LETMD1,68614.0,LETM1 domain containing 1,Q6P1Q0,Small molecule transport,33.7052,1.0,chr12,True,Mitochondrion outer membrane,NUC
96292,1337,COX6A1,12861.0,cytochrome c oxidase subunit 6A1,P12074,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,33.6921,1.0,chr12,True,Mitochondrion inner membrane,MIM
96293,1355,COX15,226139.0,cytochrome c oxidase assembly homolog COX15,Q7KZN9,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors,33.6546,2.0,chr10,True,Mitochondrion inner membrane,MIM
96294,10939,AFG3L2,69597.0,AFG3 like matrix AAA peptidase subunit 2,Q9Y4W6,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",33.6065,3.0,chr18,True,Mitochondrion inner membrane,MIM
96295,3030,HADHA,97212.0,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,P40939,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,33.5571,1.0,chr2,True,Mitochondrion,NUC
96296,2108,ETFA,110842.0,electron transfer flavoprotein subunit alpha,P13804,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",33.492,3.0,chr15,True,Mitochondrion matrix,NUC
96297,374291,NDUFS7,75406.0,NADH:ubiquinone oxidoreductase core subunit S7,O75251,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,33.0033,1.0,chr19,True,Mitochondrion inner membrane,MIM
96298,1376,CPT2,12896.0,carnitine palmitoyltransferase 2,P23786,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle,32.7824,1.0,chr1,True,Mitochondrion inner membrane,MIM
96334,26275,HIBCH,227095.0,3-hydroxyisobutyryl-CoA hydrolase,Q6NVY1,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,29.7511,1.0,chr2,True,Mitochondrion,NUC
96299,594,BCKDHB,12040.0,branched chain keto acid dehydrogenase E1 subunit beta,P21953,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,32.7672,2.0,chr6,True,Mitochondrion matrix,NUC
96300,3420,IDH3B,170718.0,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta,O43837,Metabolism > Carbohydrate metabolism > TCA cycle,32.7553,1.0,chr20,True,Mitochondrion,NUC
96301,23395,LARS2,102436.0,"leucyl-tRNA synthetase 2, mitochondrial",Q15031,Mitochondrial central dogma > Translation > mt-tRNA synthetases,32.7536,3.0,chr3,True,Mitochondrion matrix,NUC
96302,35,ACADS,11409.0,acyl-CoA dehydrogenase short chain,P16219,Metabolism > Lipid metabolism > Fatty acid oxidation,32.6104,1.0,chr12,True,Mitochondrion matrix,NUC
96303,3954,LETM1,56384.0,leucine zipper and EF-hand containing transmembrane protein 1,O95202,Signaling > Calcium homeostasis > Calcium cycle,32.4912,2.0,chr4,True,Mitochondrion inner membrane,MIM
96304,521,ATP5ME,11958.0,ATP synthase membrane subunit e,P56385,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation,32.2839,5.0,chr4,True,Mitochondrion,NUC
96305,4976,OPA1,74143.0,OPA1 mitochondrial dynamin like GTPase,O60313,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Cristae formation,32.228,3.0,chr3,True,Mitochondrion inner membrane,MIM
96306,549,AUH,11992.0,AU RNA binding methylglutaconyl-CoA hydratase,Q13825,Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,32.2168,4.0,chr9,True,Mitochondrion,NUC
96307,8802,SUCLG1,56451.0,succinate-CoA ligase GDP/ADP-forming subunit alpha,P53597,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,32.1445,5.0,chr2,True,Mitochondrion,NUC
96308,4729,NDUFV2,72900.0,NADH:ubiquinone oxidoreductase core subunit V2,P19404,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,32.0934,1.0,chr18,True,Mitochondrion inner membrane,MIM
96309,51004,COQ6,217707.0,"coenzyme Q6, monooxygenase",Q9Y2Z9,Metabolism > Metals and cofactors > Coenzyme Q metabolism,31.9639,1.0,chr14,True,Mitochondrion inner membrane,MIM
96310,84545,MRPL43,94067.0,mitochondrial ribosomal protein L43,Q8N983,Mitochondrial central dogma > Translation > Mitochondrial ribosome,31.8312,1.0,chr10,True,Mitochondrion,NUC
96311,83451,ABHD11,68758.0,abhydrolase domain containing 11,Q8NFV4,Metabolism > Carbohydrate metabolism > TCA-associated,31.7324,1.0,chr7,True,Mitochondrion,NUC
96312,522,ATP5PF,11957.0,ATP synthase peripheral stalk subunit F6,P18859,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,31.6796,1.0,chr21,True,Mitochondrion,NUC
96313,4714,NDUFB8,67264.0,NADH:ubiquinone oxidoreductase subunit B8,O95169,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,31.6796,1.0,chr10,True,Mitochondrion inner membrane,MIM
96314,9361,LONP1,74142.0,"lon peptidase 1, mitochondrial",P36776,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",31.5043,1.0,chr19,True,Mitochondrion matrix,NUC
96315,1738,DLD,13382.0,dihydrolipoamide dehydrogenase,P09622,Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system,31.2307,2.0,chr7,True,Mitochondrion matrix,NUC
96316,9131,AIFM1,26926.0,apoptosis inducing factor mitochondria associated 1,O95831,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40 | OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors | Mitochondrial dynamics and surveillance > Apoptosis",31.2095,2.0,chrX,True,Mitochondrion intermembrane space,NUC
96317,79746,ECHDC3,67856.0,enoyl-CoA hydratase domain containing 3,Q96DC8,0,31.1711,1.0,chr10,True,Mitochondrion,NUC
96318,139322,APOOL,68117.0,apolipoprotein O like,Q6UXV4,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex,31.1443,5.0,chrX,True,Mitochondrion inner membrane,MIM
96319,124995,MRPL10,107732.0,mitochondrial ribosomal protein L10,Q7Z7H8,Mitochondrial central dogma > Translation > Mitochondrial ribosome,30.9719,2.0,chr17,True,Mitochondrion,NUC
96320,92399,MRRF,67871.0,mitochondrial ribosome recycling factor,Q96E11,Mitochondrial central dogma > Translation > Translation factors,30.7726,1.0,chr9,True,Mitochondrion,NUC
96321,4728,NDUFS8,225887.0,NADH:ubiquinone oxidoreductase core subunit S8,O00217,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,30.6672,2.0,chr11,True,Mitochondrion inner membrane,MIM
96322,34,ACADM,11364.0,acyl-CoA dehydrogenase medium chain,P11310,Metabolism > Lipid metabolism > Fatty acid oxidation,30.6075,2.0,chr1,True,Mitochondrion matrix,NUC
96323,10989,IMMT,76614.0,inner membrane mitochondrial protein,Q16891,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex,30.5541,2.0,chr2,True,Mitochondrion inner membrane,MIM
96324,26520,TIMM9,30056.0,translocase of inner mitochondrial membrane 9,Q9Y5J7,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",30.4044,,chr14,True,Mitochondrion inner membrane,MIM
96325,291,SLC25A4,11739.0,solute carrier family 25 member 4,P12235,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family,30.384,,chr4,True,Mitochondrion inner membrane,MIM
96326,25813,SAMM50,68653.0,SAMM50 sorting and assembly machinery component,Q9Y512,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions",30.355,,chr22,True,Mitochondrion outer membrane,NUC
96327,4720,NDUFS2,226646.0,NADH:ubiquinone oxidoreductase core subunit S2,O75306,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,30.334,2.0,chr1,True,Mitochondrion inner membrane,MIM
96328,4723,NDUFV1,17995.0,NADH:ubiquinone oxidoreductase core subunit V1,P49821,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,30.334,2.0,chr11,True,Mitochondrion inner membrane,MIM
96329,50,ACO2,11429.0,aconitase 2,Q99798,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins,30.2787,2.0,chr22,True,Mitochondrion,NUC
96330,6832,SUPV3L1,338359.0,Suv3 like RNA helicase,Q8IYB8,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,30.2238,1.0,chr10,True,Nucleus,NUC
96331,2235,FECH,14151.0,ferrochelatase,P22830,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S-containing proteins,30.2083,1.0,chr18,True,Mitochondrion inner membrane,MIM
96332,4528,MTIF2,76784.0,mitochondrial translational initiation factor 2,P46199,Mitochondrial central dogma > Translation > Translation factors,30.1806,3.0,chr2,True,Mitochondrion,NUC
96333,5245,PHB,18673.0,prohibitin,P35232,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",29.7824,,chr17,True,Mitochondrion inner membrane,MIM
96335,51116,MRPS2,118451.0,mitochondrial ribosomal protein S2,Q9Y399,Mitochondrial central dogma > Translation > Mitochondrial ribosome,29.6278,2.0,chr9,True,Mitochondrion,NUC
96336,3313,HSPA9,15526.0,heat shock protein family A (Hsp70) member 9,P38646,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,29.5541,1.0,chr5,True,Mitochondrion,NUC
96337,6834,SURF1,20930.0,SURF1 cytochrome c oxidase assembly factor,Q15526,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,29.5209,2.0,chr9,True,Mitochondrion inner membrane,MIM
96338,10935,PRDX3,11757.0,peroxiredoxin 3,P30048,Metabolism > Detoxification > ROS and glutathione metabolism,29.4787,1.0,chr10,True,Mitochondrion,NUC
96339,27069,GHITM,66092.0,growth hormone inducible transmembrane protein,Q9H3K2,Mitochondrial dynamics and surveillance > Apoptosis,29.3618,1.0,chr10,True,Mitochondrion inner membrane,MIM
96340,60558,GUF1,231279.0,"GUF1 homolog, GTPase",Q8N442,Mitochondrial central dogma > Translation,29.2547,2.0,chr4,True,Mitochondrion inner membrane,MIM
96341,26517,TIMM13,30055.0,translocase of inner mitochondrial membrane 13,Q9Y5L4,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",29.1199,,chr19,True,Mitochondrion inner membrane,MIM
96342,57128,LYRM4,380840.0,LYR motif containing 4,Q9HD34,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,29.009,1.0,chr6,True,Mitochondrion,NUC
96343,54948,MRPL16,94063.0,mitochondrial ribosomal protein L16,Q9NX20,Mitochondrial central dogma > Translation > Mitochondrial ribosome,28.9266,4.0,chr11,True,Mitochondrion,NUC
96344,64976,MRPL40,18100.0,mitochondrial ribosomal protein L40,Q9NQ50,Mitochondrial central dogma > Translation > Mitochondrial ribosome,28.9054,1.0,chr22,True,Mitochondrion,NUC
96345,3421,IDH3G,15929.0,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma,P51553,Metabolism > Carbohydrate metabolism > TCA cycle,28.8516,,chrX,True,Mitochondrion,NUC
96346,6391,SDHC,66052.0,succinate dehydrogenase complex subunit C,Q99643,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,28.8474,1.0,chr1,True,Mitochondrion inner membrane,MIM
96347,4711,NDUFB5,66046.0,NADH:ubiquinone oxidoreductase subunit B5,O43674,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,28.7877,1.0,chr3,True,Mitochondrion inner membrane,MIM
